import time: self [us] | cumulative | imported package
import time:       757 |        757 |                         urllib3.util.response
import time:      1484 |       1484 |                         urllib3.util.retry
import time:       738 |        738 |                           hmac
import time:      8113 |       8113 |                           urllib3.util.url
import time:       963 |        963 |                           urllib3.util.ssltransport
import time:      1560 |      11373 |                         urllib3.util.ssl_
import time:      1023 |       1023 |                         urllib3.util.wait
import time:      1825 |      23855 |                       urllib3.util
import time:       199 |      24054 |                     urllib3.util.connection
import time:      1478 |      25531 |                   urllib3._base_connection
import time:      1136 |       1136 |                   urllib3._collections
import time:       636 |        636 |                   urllib3._version
import time:       894 |        894 |                           mimetypes
import time:      1467 |       2360 |                         urllib3.fields
import time:       943 |       3302 |                       urllib3.filepost
import time:       863 |        863 |                         brotlicffi
import time:       764 |        764 |                         zstandard
import time:       796 |        796 |                           urllib3.http2
import time:       702 |        702 |                           urllib3.http2.probe
import time:       776 |        776 |                           urllib3.util.ssl_match_hostname
import time:      2229 |       4500 |                         urllib3.connection
import time:      2232 |       8358 |                       urllib3.response
import time:      1128 |      12787 |                     urllib3._request_methods
import time:       753 |        753 |                     urllib3.util.proxy
import time:      1279 |      14818 |                   urllib3.connectionpool
import time:      2488 |       2488 |                   urllib3.poolmanager
import time:      2136 |      53880 |                 urllib3
import time:      1449 |       1449 |                         charset_normalizer.constant
import time:       791 |        791 |                           charset_normalizer.md__mypyc
import time:        78 |         78 |                             _multibytecodec
import time:      1028 |       1105 |                           charset_normalizer.utils
import time:      1622 |       3517 |                         charset_normalizer.md
import time:       830 |        830 |                         charset_normalizer.models
import time:      1324 |       7119 |                       charset_normalizer.cd
import time:      1060 |       8178 |                     charset_normalizer.api
import time:       695 |        695 |                     charset_normalizer.legacy
import time:       599 |        599 |                     charset_normalizer.version
import time:       604 |        604 |                     simplejson
import time:       751 |        751 |                           urllib.response
import time:       947 |       1698 |                         urllib.error
import time:       779 |        779 |                         nturl2path
import time:      2276 |       4752 |                       urllib.request
import time:      2904 |       7655 |                     http.cookiejar
import time:      1412 |       1412 |                     http.cookies
import time:      3256 |      22398 |                   requests.compat
import time:      1520 |      23918 |                 requests.exceptions
import time:       678 |        678 |                 chardet
import time:      1218 |       1218 |                       idna.idnadata
import time:       866 |        866 |                       idna.intranges
import time:      1998 |       4081 |                     idna.core
import time:      1108 |       1108 |                     idna.package_data
import time:      1526 |       6714 |                   idna
import time:      1406 |       8120 |                 requests.packages
import time:      1497 |       1497 |                       certifi.core
import time:      2029 |       3526 |                     certifi
import time:      2125 |       5651 |                   requests.certs
import time:       915 |        915 |                   requests.__version__
import time:      1247 |       1247 |                   requests._internal_utils
import time:      1275 |       1275 |                   requests.cookies
import time:       983 |        983 |                   requests.structures
import time:       650 |        650 |                       importlib.resources._itertools
import time:      1155 |       1805 |                     importlib.resources.readers
import time:      1014 |       2818 |                   importlib.readers
import time:      3475 |      16363 |                 requests.utils
import time:      1605 |       1605 |                       requests.auth
import time:      1058 |       1058 |                           stringprep
import time:      1242 |       2300 |                         encodings.idna
import time:      1340 |       1340 |                         requests.hooks
import time:      1483 |       1483 |                         requests.status_codes
import time:      2387 |       7509 |                       requests.models
import time:       838 |        838 |                         urllib3.contrib
import time:       808 |        808 |                         socks
import time:      1492 |       3138 |                       urllib3.contrib.socks
import time:    415584 |     427835 |                     requests.adapters
import time:      1850 |     429684 |                   requests.sessions
import time:      1113 |     430797 |                 requests.api
import time:      2633 |     536385 |               requests
import time:       492 |        492 |                     cffi.lock
import time:       546 |        546 |                     cffi.error
import time:      1139 |       1139 |                     cffi.model
import time:      1579 |       3754 |                   cffi.api
import time:      1120 |       4874 |                 cffi
import time:      1828 |       1828 |                 _cffi_backend
import time:       825 |        825 |                   cffi.commontypes
import time:       120 |        120 |                   cffi._pycparser
import time:       608 |        608 |                       pycparser.ply
